Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W3,DSC_0854.NEF,0.9776247499247188,0.018270906006381198,295.99083154413734,-0.027144451719871378,0.9903642942884922,24.758356153582437,-5.4931179293839915e-06,-9.916110510067026e-10,1.0
A&W3,DSC_0855.NEF,0.9786809388627312,0.017853488513883763,302.20924069738567,-0.025089647529632043,0.9917430600565321,21.81222686697905,-5.4378861632454015e-06,5.829545409031741e-07,1.0
A&W3,DSC_0856.NEF,0.9798535492458642,0.0185647225589473,295.04803844493136,-0.025167530171676892,0.9924715992464704,19.074025486438728,-5.209420422354389e-06,7.174767819230965e-07,0.9999999999999999
A&W3,DSC_0857.NEF,0.9814290434265619,0.019729717745823223,294.097454585493,-0.025285557433389116,0.9940098748867956,22.50649239472497,-4.9511408646970166e-06,1.280504162057453e-06,1.0
A&W3,DSC_0858.NEF,0.9805919441933351,0.017925543731531927,297.72641084947674,-0.024150898514552765,0.9934647557226437,17.226747952526765,-5.052198682322234e-06,9.577170246942103e-07,1.0
A&W3,DSC_0859.NEF,0.9794942312050949,0.015586312351558534,301.79648286491334,-0.02361476505873061,0.9915041951616573,19.371347007432703,-5.18380614059885e-06,3.118183794898786e-07,1.0
A&W3,DSC_0860.NEF,0.9791629299803046,0.01591432641297553,301.2478211085604,-0.023259830009636724,0.991875940675029,18.239617627232917,-5.385039011819996e-06,5.999847537057368e-07,1.0
A&W3,DSC_0861.NEF,0.9789182150414251,0.013914527028679602,299.74759822522566,-0.021740781826931507,0.9910574962403924,12.515804917166122,-5.293540896026952e-06,2.511471989299526e-07,1.0
A&W3,DSC_0862.NEF,0.9791084543184695,0.013642549425782165,305.25235050832237,-0.021149359349727538,0.9914449714733083,14.196728218809366,-5.30210196499849e-06,4.3506552409265207e-07,1.0
Harbour1,DSC_1649.NEF,-1.0002118548440344,0.004823273555700672,4279.835810278761,0.008241631499788779,-0.9877485789912903,3025.219671626902,-3.3985044745524304e-07,6.777816120549677e-06,1.0
Harbour1,DSC_1651.NEF,-1.005315123335438,0.013076674294564538,4279.8068675477425,0.006516781122894874,-0.9865178291279468,3024.8389591787336,-2.121570529917533e-06,9.545025255733312e-06,1.0
Harbour1,DSC_1652.NEF,-0.9993052700122582,0.00219541187026916,4279.995561649469,0.00990706436633817,-0.9899000187046175,3023.6872175184662,-9.893173987396928e-08,6.019372762600477e-06,1.0
